epoch,train_loss,train_acc,valid_loss,valid_acc
0,5.38050651550293,0.10745495738483116,19.950963973999023,0.1250486949746786
1,20.38886070251465,0.1259035494659618,9.986413955688477,0.11453058044409817
2,9.705782890319824,0.12682058474484842,4.131376266479492,0.16595247370471367
3,4.14858341217041,0.1940338763620671,2.896472692489624,0.1456953642384106
4,2.853624105453491,0.1840004315460136,2.4451353549957275,0.1449162446435528
5,2.392198324203491,0.18863955119214587,2.2701172828674316,0.14335800545383717
6,2.207732915878296,0.16992124285251914,2.2501144409179688,0.1246591351772497
7,2.1761512756347656,0.16549789621318373,2.254936933517456,0.13751460849240357
8,2.1785666942596436,0.16992124285251914,2.2498409748077393,0.14257888585897935
9,2.166755437850952,0.17650231955982307,2.2437071800231934,0.14141020646669264
10,2.1577210426330566,0.1731578379544719,2.2332558631896973,0.1386832878846903
11,2.1269571781158447,0.1845398640630057,2.224156379699707,0.14452668484612388
12,2.102764368057251,0.198834825763297,2.2144129276275635,0.15309700038955978
13,2.08347487449646,0.20983924910993634,2.205258369445801,0.1538761199844176
14,2.0616133213043213,0.21464019851116625,2.1992087364196777,0.16166731593299571
15,2.0442090034484863,0.21593483655194734,2.1924304962158203,0.16205687573042463
16,2.020002841949463,0.22591433811630166,2.1842739582061768,0.1756914686404363
17,1.989166498184204,0.23583989642895672,2.182935953140259,0.19244253992987922
18,1.9750103950500488,0.2525623044557126,2.1852879524230957,0.1978963770938839
19,1.9546343088150024,0.26448376308123855,2.18469500541687,0.20218153486560186
20,1.9500460624694824,0.2634048980472543,2.1775026321411133,0.20685625243474873
21,1.9334317445755005,0.2728449670946165,2.1783647537231445,0.19594857810673938
22,1.9012969732284546,0.29145538893084477,2.181311845779419,0.19945461628359953
23,1.8883122205734253,0.2956629625633833,2.1827149391174316,0.2173743669653292
24,1.8776408433914185,0.30240586902578487,2.186272621154785,0.21698480716790028
25,1.86880624294281,0.3028913582910778,2.1849188804626465,0.2173743669653292
26,1.8543224334716797,0.3144891574064085,2.180264949798584,0.22204908453447605
